;Unnamed: 0;detail_id;order_id;dishes_id;logicprn_name;parent_class_name;dishes_name;itemis_add;counts;amounts;cost;place_order_time;discount_amt;discount_reason;kick_back;add_inprice;add_info;bar_code;picture_file;emp_id
0;0;2352;366;609967;;;œ„À÷¡Ω≥‘¥Ûœ∫;0;1;89;;2016-08-11 11:49:43;;;;0;;;caipu/101002.jpg;1159
1;1;2354;366;609961;;;Ω™¥–≥¥ª®–∑;0;1;45;;2016-08-11 11:51:17;;;;0;;;caipu/102001.jpg;1159
2;2;2356;366;606000;;;"œ„øæ≈£≈≈


";0;1;55;;2016-08-11 11:52:48;;;;0;;;caipu/201001.jpg;1159
3;3;2358;366;606106;;;Ã˙∞Â≈£»‚;0;1;66;;2016-08-11 11:53:47;;;;0;;;/jsp/pc/images/606106.jpg;1159
4;4;2361;366;610003;;;À‚œ„∞¸;0;1;13;;2016-08-11 11:54:12;;;;0;;;caipu/503002.jpg;1159
5;5;2360;366;610043;;;»‚∂°«—◊”;0;1;39;;2016-08-11 11:54:48;;;;0;;;caipu/305002.jpg;1159
6;6;2362;366;610011;;;∞◊∑π/¥ÛÕÎ;0;1;10;;2016-08-11 11:56:08;;;;0;;;caipu/601005.jpg;1159
7;7;2901;412;609969;;;œ„¿±∏Ø»È≥¥œ∫;0;1;56;;2016-08-11 11:59:54;;;;0;;;caipu/101004.jpg;1169
8;8;2905;412;609935;;;…Ω“©—¯…˙÷‡;0;1;19;;2016-08-11 12:01:13;;;;0;;;caipu/602001.jpg;1169
9;9;2904;412;609963;;;≈Ã–∑’Ùµ∞;0;1;55;;2016-08-11 12:01:23;;;;0;;;caipu/102003.jpg;1169
10;10;2906;412;609943;;;∂ÁΩ∑”„Õ∑;0;1;55;;2016-08-11 12:03:30;;;;0;;;caipu/103004.jpg;1169
11;11;2907;412;609945;;;≈©∑Ú…Ω»™NFCπ˚÷≠100%≥»÷≠;0;1;6;;2016-08-11 12:04:09;;;;0;;;caipu/404001.jpg;1169
12;12;2908;412;609949;;;“‚Œƒƒ˚√ ÷≠ ;0;1;13;;2016-08-11 12:05:52;;;;0;;;caipu/404005.jpg;1169
13;13;2909;412;609950;;;¥ÛÀ‚‹»≤À;0;1;30;;2016-08-11 12:07:37;;;;0;;;caipu/303001.jpg;1169
14;14;2910;412;609951;;;Ï¡≥¥¥Û∞◊≤À;0;1;29;;2016-08-11 12:07:46;;;;0;;;caipu/303002.jpg;1169
15;15;2911;412;609948;;;¬∂¬∂ŒﬁÃ«–”» ¬∂;0;1;7;;2016-08-11 12:07:52;;;;0;;;caipu/404004.jpg;1169
